player,pid,pos,pick,eff,draftyr,typ,by,Y,age,horizon,nqf,pred_fwd,real_fwd,pred_ev,pred_val,real_val,resid_fwd,resid_val,active
Jack Silvagni,140498197121024,KEY_DEF,53,53,2015,ND,1997,2017,20.0,9,8,76.09933569891533,74.2,1229.0,1221.38,499.0,1.8993356989153227,722.3800000000001,1
Jack Silvagni,140498197121024,KEY_DEF,53,53,2015,ND,1997,2018,21.0,8,7,68.17475999621657,74.2,878.0,702.5400000000001,556.0,-6.025240003783438,146.54000000000008,1
Jack Silvagni,140498197121024,KEY_DEF,53,53,2015,ND,1997,2019,22.0,7,6,69.04447131689837,74.2,807.0,721.3400000000001,622.0,-5.155528683101636,99.34000000000015,1
Jack Silvagni,140498197121024,KEY_DEF,53,53,2015,ND,1997,2020,23.0,6,5,62.9284416969307,74.2,425.0,397.90000000000003,689.0,-11.271558303069305,-291.09999999999997,0
Jack Silvagni,140498197121024,KEY_DEF,53,53,2015,ND,1997,2021,24.0,5,5,64.7254843228083,74.2,503.0,481.9800000000001,762.0,-9.474515677191704,-280.0199999999999,1
Jack Silvagni,140498197121024,KEY_DEF,53,53,2015,ND,1997,2022,25.0,4,4,72.45849396315793,74.2,1449.0,1449.7400000000002,984.0,-1.7415060368420683,465.74000000000024,1
Jack Silvagni,140498197121024,KEY_DEF,53,53,2015,ND,1997,2023,26.0,3,3,69.84991917913656,71.8,931.0,933.32,589.0,-1.950080820863434,344.32000000000005,1
Samuel Collins,140498197122240,KEY_DEF,54,54,2015,ND,1994,2015,21.0,11,9,56.540330261234175,79.76666666666667,364.0,363.86000000000007,1128.0,-23.22633640543249,-764.1399999999999,0
Samuel Collins,140498197122240,KEY_DEF,54,54,2015,ND,1994,2016,22.0,10,9,61.84879554582899,79.76666666666667,1338.0,1330.18,1578.0,-17.917871120837674,-247.81999999999994,1
Samuel Collins,140498197122240,KEY_DEF,54,54,2015,ND,1994,2017,23.0,9,8,60.11704415731806,79.76666666666667,987.0,982.4400000000002,1486.0,-19.649622509348603,-503.55999999999983,0
Samuel Collins,140498197122240,KEY_DEF,54,54,2015,ND,1994,2018,24.0,8,8,54.871924261466845,79.76666666666667,974.0,970.9000000000001,1574.0,-24.89474240519982,-603.0999999999999,0
Samuel Collins,140498197122240,KEY_DEF,54,54,2015,ND,1994,2019,25.0,7,8,58.895530215505865,79.76666666666667,660.0,653.8400000000001,1577.0,-20.8711364511608,-923.1599999999999,1
Samuel Collins,140498197122240,KEY_DEF,54,54,2015,ND,1994,2020,26.0,6,7,67.52852278095321,79.76666666666667,1082.0,1080.2400000000002,1590.0,-12.238143885713455,-509.75999999999976,1
Samuel Collins,140498197122240,KEY_DEF,54,54,2015,ND,1994,2021,27.0,5,6,70.42138453563449,77.86666666666666,1157.0,1155.3000000000002,1237.0,-7.445282131032172,-81.69999999999982,1
Samuel Collins,140498197122240,KEY_DEF,54,54,2015,ND,1994,2022,28.0,4,5,70.98241940566314,77.86666666666666,922.0,920.72,1052.0,-6.884247261003523,-131.27999999999997,1
Samuel Collins,140498197122240,KEY_DEF,54,54,2015,ND,1994,2023,29.0,3,4,70.52588143127304,77.86666666666666,809.0,807.94,859.0,-7.340785235393625,-51.059999999999945,1
Jordan Dawson,140498197123456,MID,55,55,2015,ND,1997,2015,18.0,11,8,53.11158620638167,114.33333333333333,495.0,525.5000000000001,3832.0,-61.221747126951655,-3306.5,0
Jordan Dawson,140498197123456,MID,55,55,2015,ND,1997,2016,19.0,10,8,66.01531135033002,114.33333333333333,272.0,645.5400000000001,4311.0,-48.318021983003305,-3665.46,0
Jordan Dawson,140498197123456,MID,55,55,2015,ND,1997,2017,20.0,9,8,63.99110665916771,114.33333333333333,258.0,632.5000000000001,4692.0,-50.342226674165616,-4059.5,0
Jordan Dawson,140498197123456,MID,55,55,2015,ND,1997,2018,21.0,8,8,63.18971732661532,114.33333333333333,369.0,505.9800000000001,4985.0,-51.143616006718005,-4479.0199999999995,0
