key,Y,type,pos,age,games,tenure,peak_fwd,dv_fwd,pred_raw,b4,b2,b5_raw,b5_tap,asc,in_trainpool,pickless
jeremy-cameron,2018,ND,KPF,25.0,130,7,89.97,2512.1,99.76,96.97,88.64,99.76,95.72,0.637,1,0
jeremy-cameron,2019,ND,KPF,26.0,154,8,89.97,2095.6,101.45,98.49,96.18,101.45,99.73,0.672,1,0
tom-mitchell,2011,ND,MID,18.0,0,0,121.57,3743.4,115.75,103.08,83.3,115.75,115.75,1.0,1,0
tom-mitchell,2012,ND,MID,19.0,0,1,121.57,4267.5,115.75,101.7,80.56,115.75,115.75,1.0,1,0
tom-mitchell,2013,ND,MID,20.0,14,2,121.57,4769.6,118.76,109.8,96.26,118.76,118.76,1.0,1,0
tom-mitchell,2014,ND,MID,21.0,20,3,121.57,5089.1,119.43,106.17,92.21,119.43,116.17,0.88,1,0
tom-mitchell,2015,ND,MID,22.0,39,4,121.57,4810.3,126.35,119.7,107.93,126.35,123.69,0.856,1,0
tom-mitchell,2016,ND,MID,23.0,65,5,121.57,4732.6,125.9,121.39,114.35,125.9,123.78,0.817,1,0
tom-mitchell,2017,ND,MID,24.0,87,6,121.57,3953.2,125.63,123.73,118.25,125.63,124.39,0.832,1,0
tom-mitchell,2018,ND,MID,25.0,111,7,119.77,2517.2,127.15,123.79,122.2,127.15,126.2,0.808,1,0
tom-mitchell,2019,ND,MID,26.0,111,8,109.23,2869.6,126.77,121.95,117.27,126.77,124.72,0.784,1,0
adam-treloar,2011,ND,SF,18.0,0,0,113.0,4128.1,95.51,92.56,67.6,95.51,95.51,1.0,1,0
adam-treloar,2012,ND,SF,19.0,18,1,113.0,4273.5,107.15,107.94,89.91,107.94,107.94,1.0,1,0
adam-treloar,2013,ND,SF,20.0,38,2,113.0,4589.1,111.98,110.06,91.61,111.98,111.98,1.0,1,0
adam-treloar,2014,ND,SF,21.0,58,3,113.0,4362.2,119.91,116.86,104.76,119.91,119.17,0.952,1,0
adam-treloar,2015,ND,SF,22.0,79,4,113.0,4127.6,126.53,122.42,114.24,126.53,125.35,0.904,1,0
adam-treloar,2016,ND,SF,23.0,101,5,113.0,3676.4,128.41,123.07,116.59,128.41,126.85,0.868,1,0
adam-treloar,2017,ND,SF,24.0,122,6,111.8,3504.8,124.62,119.6,113.2,124.62,122.7,0.832,1,0
adam-treloar,2018,ND,SF,25.0,139,7,111.8,3286.6,123.26,116.72,110.95,123.26,120.9,0.808,1,0
adam-treloar,2019,ND,SF,26.0,163,8,111.8,2712.8,125.38,121.92,112.76,125.38,122.65,0.784,1,0
