key,name,club,affl_team,pos,previous_round,current_round,played,score,prev_value,cur_value,value_change,value_change_pct,prev_rank,cur_rank,rank_change,prev_pos_rank,cur_pos_rank,pos_rank_change
will-lorenz,Will Lorenz,Port Adelaide,St Kilda Saints,Mid,the-sheet-recut-20-8,23,DNP,DNP,211,204,-7,-3.32,492,498,-6,108,108,0
will-mclachlan,Will McLachlan,Brisbane,Free agents,Fwd,the-sheet-recut-20-8,23,DNP,DNP,136,133,-3,-2.21,567,569,-2,143,143,0
will-setterfield,Will Setterfield,Essendon,Sydney Swans,Mid,the-sheet-recut-20-8,23,PLAYED,111.0,730,792,62,8.49,263,245,18,61,58,3
willem-drew,Willem Drew,Port Adelaide,Sydney Swans,Mid,the-sheet-recut-20-8,23,PLAYED,51.0,680,628,-52,-7.65,271,281,-10,63,67,-4
willem-duursma,Willem Duursma,West Coast,Fremantle Dockers,Mid,the-sheet-recut-20-8,23,PLAYED,20.0,4225,3720,-505,-11.95,26,34,-8,13,16,-3
william-mccabe,William McCabe,Hawthorn,Hawthorn Hawks,Key Def,the-sheet-recut-20-8,23,DNP,DNP,229,230,1,0.44,468,472,-4,42,41,1
xavier-bamert,Xavier Bamert,Port Adelaide,Richmond Tigers,Mid,the-sheet-recut-20-8,23,PLAYED,65.0,411,445,34,8.27,355,343,12,86,82,4
xavier-duursma,Xavier Duursma,Essendon,Port Adelaide Power,Mid,the-sheet-recut-20-8,23,DNP,DNP,232,231,-1,-0.43,466,471,-5,105,104,1
xavier-lindsay,Xavier Lindsay,Melbourne,Hawthorn Hawks,Def,the-sheet-recut-20-8,23,DNP,DNP,1465,1457,-8,-0.55,150,152,-2,35,35,0
xavier-o-halloran,Xavier O'Halloran,GWS,Sydney Swans,Fwd,the-sheet-recut-20-8,23,DNP,DNP,80,79,-1,-1.25,642,644,-2,167,168,-1
xavier-taylor,Xavier Taylor,Melbourne,Richmond Tigers,Def,the-sheet-recut-20-8,23,DNP,DNP,914,906,-8,-0.88,227,227,0,58,57,1
xavier-walsh,Xavier Walsh,Port Adelaide,Free agents,Key Fwd,the-sheet-recut-20-8,23,DNP,DNP,116,116,0,0.0,589,589,0,100,99,1
zac-bailey,Zac Bailey,Brisbane,North Melbourne Kangaroos,Fwd,the-sheet-recut-20-8,23,PLAYED,114.0,2774,2831,57,2.05,64,63,1,15,14,1
zac-banch,Zac Banch,North Melbourne,Free agents,Fwd,the-sheet-recut-20-8,23,PLAYED,85.0,62,66,4,6.45,676,673,3,179,178,1
zac-fisher,Zac Fisher,North Melbourne,Free agents,Fwd,the-sheet-recut-20-8,23,DNP,DNP,155,144,-11,-7.1,545,558,-13,135,138,-3
zac-mccarthy,Zac McCarthy,Collingwood,West Coast Eagles,Key Fwd,the-sheet-recut-20-8,23,DNP,DNP,133,130,-3,-2.26,569,572,-3,93,92,1
zac-taylor,Zac Taylor,Adelaide,Adelaide Crows,Fwd,the-sheet-recut-20-8,23,PLAYED,68.0,205,241,36,17.56,497,459,38,119,107,12
zac-walker,Zac Walker,Western Bulldogs,Free agents,Key Def,the-sheet-recut-20-8,23,DNP,DNP,153,153,0,0.0,548,546,2,52,52,0
zach-guthrie,Zach Guthrie,Geelong,Geelong Cats,Def,the-sheet-recut-20-8,23,PLAYED,67.0,291,261,-30,-10.31,419,440,-21,100,105,-5
zach-reid,Zach Reid,Essendon,Hawthorn Hawks,Key Def,the-sheet-recut-20-8,23,PLAYED,106.0,921,1067,146,15.85,224,202,22,16,12,4
zachary-merrett,Zachary Merrett,Essendon,West Coast Eagles,Mid,the-sheet-recut-20-8,23,PLAYED,72.0,2547,2368,-179,-7.03,72,78,-6,26,28,-2
zachary-williams,Zachary Williams,Carlton,St Kilda Saints,Fwd,the-sheet-recut-20-8,23,DNP,DNP,355,350,-5,-1.41,387,389,-2,88,88,0
zak-butters,Zak Butters,Port Adelaide,Geelong Cats,Mid,the-sheet-recut-20-8,23,DNP,DNP,6596,6580,-16,-0.24,8,9,-1,4,5,-1
zak-evans,Zak Evans,Gold Coast,Free agents,Mid,the-sheet-recut-20-8,23,DNP,DNP,113,113,0,0.0,590,592,-2,121,122,-1
zak-johnson,Zak Johnson,Essendon,Richmond Tigers,Def,the-sheet-recut-20-8,23,DNP,DNP,409,408,-1,-0.24,356,356,0,87,88,-1
zane-duursma,Zane Duursma,North Melbourne,Richmond Tigers,Fwd,the-sheet-recut-20-8,23,DNP,DNP,323,322,-1,-0.31,400,402,-2,92,91,1
zane-peucker,Zane Peucker,Richmond,Carlton Blues,Fwd,the-sheet-recut-20-8,23,DNP,DNP,404,400,-4,-0.99,359,358,1,82,81,1
zane-zakostelsky,Zane Zakostelsky,Brisbane,Fremantle Dockers,Key Def,the-sheet-recut-20-8,23,DNP,DNP,141,142,1,0.71,561,560,1,54,54,0
zeke-uwland,Zeke Uwland,Gold Coast,Fremantle Dockers,Def,the-sheet-recut-20-8,23,DNP,DNP,1758,1755,-3,-0.17,127,125,2,28,27,1
