# 270a2c5f (ACT-2 baseline) -> 01c3645d (unpl_eq on v2)  (RL_PVC2=1 board)
# board md5: 270a2c5f -> 01c3645d
# unpl_eq consumer -> _PVC2M; reorders via proj_value sort; displayed v (ev) unchanged
# V-PARITY (displayed v, keyed): 0 movers  => HOLDS (no shipped v moved)
# RANK movers: 469 of 804 active

REAL  Oskar Taylor               #164 -> #146 ( -18)  v=828  ty=ND  pk=15  unpl=True
REAL  Jordan Croft               #226 -> #244 ( +18)  v=1081 ty=ND  pk=15  unpl=False
REAL  Jay Polkinghorne           #363 -> #381 ( +18)  v=261  ty=ND  pk=44  unpl=True
casc  Josh Dunkley               #218 -> #235 ( +17)  v=1168 ty=ND  pk=25  unpl=False
REAL  Luke Trainor               #219 -> #236 ( +17)  v=1413 ty=ND  pk=21  unpl=False
casc  Lloyd Meek                 #220 -> #237 ( +17)  v=1231 ty=ND  pk=68  unpl=False
REAL  Bo Allan                   #221 -> #238 ( +17)  v=990  ty=ND  pk=16  unpl=False
REAL  Jake Rogers                #223 -> #240 ( +17)  v=614  ty=ND  pk=14  unpl=False
casc  Sean Darcy                 #224 -> #241 ( +17)  v=1208 ty=ND  pk=38  unpl=False
casc  Toby Greene                #225 -> #242 ( +17)  v=859  ty=ND  pk=18  unpl=False
casc  Nic Newman                 #217 -> #233 ( +16)  v=945  ty=RD  pk=29  unpl=False
REAL  Dylan Patterson            #78  -> #63  ( -15)  v=987  ty=ND  pk=5   unpl=True
