# 01c3645d (unpl_eq) -> 06d8af60 (pedestal on v2)  (RL_PVC2=1 board)
# board md5: 01c3645d -> 06d8af60
# pedestal consumer -> _PVC2M; reorders played+unplayed via proj_value sort; v unchanged
# V-PARITY (displayed v, keyed): 0 movers  => HOLDS (no shipped v moved)
# RANK movers: 688 of 804 active

REAL  Tyrell Dewar               #652 -> #625 ( -27)  v=209  ty=PDN pk=None unpl=False
REAL  Oisin Mullin               #676 -> #649 ( -27)  v=11   ty=IRE pk=None unpl=False
casc  Alex Neal-Bullen           #450 -> #476 ( +26)  v=534  ty=ND  pk=40  unpl=False
casc  Brayden Fiorini            #460 -> #486 ( +26)  v=321  ty=ND  pk=20  unpl=False
REAL  Jai Serong                 #557 -> #583 ( +26)  v=116  ty=ND  pk=53  unpl=False
REAL  Karl Worner                #580 -> #554 ( -26)  v=591  ty=RD  pk=5   unpl=False
REAL  Lachy Dovaston             #223 -> #198 ( -25)  v=863  ty=ND  pk=16  unpl=False
casc  Nick Larkey                #444 -> #469 ( +25)  v=739  ty=ND  pk=72  unpl=False
casc  Dion Prestia               #446 -> #471 ( +25)  v=472  ty=ND  pk=10  unpl=False
casc  Christian Salem            #447 -> #472 ( +25)  v=598  ty=ND  pk=9   unpl=False
casc  Charlie Comben             #449 -> #474 ( +25)  v=746  ty=ND  pk=31  unpl=False
casc  Jayden Laverde             #452 -> #477 ( +25)  v=528  ty=ND  pk=20  unpl=False
REAL  Tom Anastasopoulos         #455 -> #480 ( +25)  v=323  ty=ND  pk=48  unpl=False
casc  Marcus Windhager           #456 -> #481 ( +25)  v=1813 ty=ND  pk=47  unpl=False
REAL  George Stevens             #462 -> #487 ( +25)  v=353  ty=ND  pk=58  unpl=False
casc  Tom Papley                 #463 -> #488 ( +25)  v=511  ty=RD  pk=11  unpl=False
REAL  Harvey Johnston            #520 -> #495 ( -25)  v=282  ty=ND  pk=49  unpl=False
REAL  James O'Donnell            #565 -> #540 ( -25)  v=592  ty=UNR pk=None unpl=False
casc  Charlie Ballard            #610 -> #635 ( +25)  v=221  ty=ND  pk=42  unpl=False
REAL  Harvey Harrison            #668 -> #643 ( -25)  v=60   ty=ND  pk=52  unpl=False
REAL  Latrelle Pickett           #178 -> #154 ( -24)  v=580  ty=ND  pk=12  unpl=False
REAL  Jhye Clark                 #418 -> #442 ( +24)  v=613  ty=ND  pk=8   unpl=False
