key,name,club,affl_team,pos,previous_round,current_round,played,score,prev_value,cur_value,value_change,value_change_pct,prev_rank,cur_rank,rank_change,prev_pos_rank,cur_pos_rank,pos_rank_change
marcus-windhager,Marcus Windhager,St Kilda,Western Bulldogs,Mid,17,18,PLAYED,86.0,2036,2022,-14,-0.69,112,116,-4,54,56,-2
mark-blicavs,Mark Blicavs,Geelong,Geelong Cats,Mid,17,18,PLAYED,62.0,7,7,0,0.0,797,797,0,192,192,0
mark-keane,Mark Keane,Adelaide,Adelaide Crows,Key Def,17,18,PLAYED,44.0,2109,1868,-241,-11.43,103,130,-27,7,8,-1
mark-o-connor,Mark O'Connor,Geelong,Brisbane Lions,Def,17,18,DNP,DNP,14,14,0,0.0,783,784,-1,170,170,0
mason-cox,Mason Cox,Fremantle,Geelong Cats,Key Fwd,17,18,PLAYED,80.0,1,2,1,100.0,804,800,4,103,103,0
mason-redman,Mason Redman,Essendon,Collingwood Magpies,Def,17,18,PLAYED,69.0,1651,1553,-98,-5.94,148,158,-10,31,31,0
mason-wood,Mason Wood,St Kilda,Port Adelaide Power,Fwd,17,18,PLAYED,90.0,349,398,49,14.04,449,421,28,65,61,4
massimo-d-ambrosio,Massimo D'Ambrosio,Hawthorn,Geelong Cats,Mid,17,18,PLAYED,72.0,1420,1402,-18,-1.27,171,174,-3,70,69,1
matt-carroll,Matt Carroll,Carlton,Western Bulldogs,Mid,17,18,DNP,DNP,945,949,4,0.42,236,232,4,89,88,1
matt-cottrell,Matt Cottrell,Carlton,Adelaide Crows,Mid,17,18,PLAYED,76.0,70,86,16,22.86,704,683,21,182,179,3
matt-duffy,Matt Duffy,Carlton,North Melbourne Kangaroos,Def,17,18,DNP,DNP,177,174,-3,-1.69,594,596,-2,126,126,0
matt-guelfi,Matt Guelfi,Essendon,Free agents,Fwd,17,18,DNP,DNP,26,26,0,0.0,770,771,-1,174,175,-1
matt-hill,Matt Hill,Hawthorn,Free agents,Fwd,17,18,PLAYED,18.0,120,106,-14,-11.67,644,657,-13,130,131,-1
matt-johnson-1,Matt Johnson,Fremantle,Carlton Blues,Mid,17,18,PLAYED,79.0,741,737,-4,-0.54,289,286,3,106,104,2
matt-owies,Matt Owies,Carlton,Free agents,Fwd,17,18,DNP,DNP,2,2,0,0.0,800,801,-1,182,182,0
matt-rowell,Matt Rowell,Gold Coast,Collingwood Magpies,Mid,17,18,PLAYED,93.0,3757,3795,38,1.01,34,35,-1,21,21,0
matt-whitlock,Matt Whitlock,North Melbourne,Adelaide Crows,Key Fwd,17,18,PLAYED,35.0,417,526,109,26.14,412,361,51,53,48,5
mattaes-phillipou,Mattaes Phillipou,St Kilda,Brisbane Lions,Mid,17,18,PLAYED,109.0,1645,1961,316,19.21,150,122,28,66,59,7
matthew-flynn,Matthew Flynn,West Coast,Sydney Swans,Ruck,17,18,DNP,DNP,686,681,-5,-0.73,300,301,-1,26,26,0
matthew-jefferson,Matthew Jefferson,Melbourne,Carlton Blues,Key Fwd,17,18,PLAYED,43.0,471,464,-7,-1.49,386,387,-1,50,51,-1
matthew-kennedy-1,Matthew Kennedy,Western Bulldogs,St Kilda Saints,Mid,17,18,PLAYED,89.0,686,718,32,4.66,301,291,10,111,108,3
matthew-leray,Matthew LeRay,Hawthorn,Hawthorn Hawks,Mid,17,18,DNP,DNP,452,438,-14,-3.1,398,402,-4,133,134,-1
matthew-roberts,Matthew Roberts,Sydney,Carlton Blues,Def,17,18,PLAYED,72.0,2037,2071,34,1.67,111,113,-2,23,23,0
maurice-rioli-1,Maurice Rioli,Richmond,Sydney Swans,Fwd,17,18,DNP,DNP,41,41,0,0.0,743,741,2,162,162,0
max-beattie,Max Beattie,Hawthorn,Carlton Blues,Fwd,17,18,DNP,DNP,48,48,0,0.0,730,728,2,158,158,0
max-gawn,Max Gawn,Melbourne,North Melbourne Kangaroos,Ruck,17,18,PLAYED,116.0,3618,3578,-40,-1.11,40,42,-2,4,4,0
max-gruzewski,Max Gruzewski,GWS,Essendon Bombers,Key Fwd,17,18,DNP,DNP,345,340,-5,-1.45,455,452,3,63,62,1
max-hall,Max Hall,St Kilda,Western Bulldogs,Fwd,17,18,PLAYED,80.0,2742,2726,-16,-0.58,67,66,1,5,7,-2
max-heath,Max Heath,Melbourne,Sydney Swans,Ruck,17,18,DNP,DNP,210,210,0,0.0,567,562,5,53,53,0
max-holmes,Max Holmes,Geelong,Geelong Cats,Mid,17,18,PLAYED,112.0,7094,7168,74,1.04,6,6,0,4,4,0
max-king-stk,Max King,St Kilda,Hawthorn Hawks,Key Fwd,17,18,DNP,DNP,354,341,-13,-3.67,444,451,-7,61,61,0
max-king-syd,Maxwell King,Sydney,Richmond Tigers,Fwd,17,18,DNP,DNP,266,266,0,0.0,517,515,2,85,87,-2
max-knobel,Max Knobel,Gold Coast,Fremantle Dockers,Ruck,17,18,DNP,DNP,492,492,0,0.0,376,376,0,36,36,0
max-kondogiannis,Max Kondogiannis,Essendon,Hawthorn Hawks,Def,17,18,PLAYED,42.0,502,529,27,5.38,369,360,9,81,79,2
max-mapley,Max Mapley,Melbourne,Sydney Swans,Ruck,17,18,DNP,DNP,597,589,-8,-1.34,331,334,-3,32,32,0
max-michalanney,Max Michalanney,Adelaide,Carlton Blues,Def,17,18,PLAYED,49.0,565,584,19,3.36,342,337,5,77,71,6
max-ramsden,Max Ramsden,Hawthorn,Hawthorn Hawks,Key Fwd,17,18,DNP,DNP,211,207,-4,-1.9,564,565,-1,79,78,1
michael-frederick,Michael Frederick,Fremantle,Port Adelaide Power,Fwd,17,18,PLAYED,64.0,93,94,1,1.08,675,673,2,138,137,1
michael-sellwood,Michael Sellwood,Western Bulldogs,Brisbane Lions,Def,17,18,PLAYED,67.0,94,92,-2,-2.13,673,675,-2,144,146,-2
milan-murdock,Milan Murdock,West Coast,Richmond Tigers,Fwd,17,18,PLAYED,60.0,532,472,-60,-11.28,357,384,-27,45,50,-5
miles-bergman,Miles Bergman,Port Adelaide,Brisbane Lions,Def,17,18,PLAYED,93.0,775,801,26,3.35,281,269,12,61,57,4
mitch-georgiades,Mitch Georgiades,Port Adelaide,North Melbourne Kangaroos,Key Fwd,17,18,DNP,DNP,1463,1474,11,0.75,167,169,-2,17,19,-2
mitch-mcgovern,Mitch McGovern,Carlton,Geelong Cats,Def,17,18,PLAYED,57.0,28,28,0,0.0,767,768,-1,165,165,0
mitch-podhajski,Mitch Podhajski,Collingwood,Hawthorn Hawks,Key Fwd,17,18,DNP,DNP,24,23,-1,-4.17,774,776,-2,100,100,0
mitch-zadow,Mitch Zadow,Port Adelaide,Port Adelaide Power,Fwd,17,18,DNP,DNP,108,107,-1,-0.93,658,656,2,133,130,3
mitchell-edwards,Mitchell Edwards,Geelong,Western Bulldogs,Ruck,17,18,DNP,DNP,1876,1883,7,0.37,127,128,-1,11,12,-1
