key,name,club,affl_team,pos,previous_round,current_round,played,score,prev_value,cur_value,value_change,value_change_pct,prev_rank,cur_rank,rank_change,prev_pos_rank,cur_pos_rank,pos_rank_change
leo-lombard,Leo Lombard,Gold Coast,Fremantle Dockers,Fwd,18,19,PLAYED,84.0,1581,1671,90,5.69,156,147,9,18,17,1
anthony-caminiti,Anthony Caminiti,St Kilda,Collingwood Magpies,Key Fwd,18,19,PLAYED,9.0,1193,1077,-116,-9.72,200,216,-16,23,26,-3
cameron-nairn,Cameron Nairn,Hawthorn,Hawthorn Hawks,Fwd,18,19,DNP,DNP,807,810,3,0.37,275,281,-6,34,34,0
justin-mcinerney,Justin McInerney,Sydney,Carlton Blues,Mid,18,19,DNP,DNP,1957,1967,10,0.51,124,129,-5,61,61,0
ethan-read,Ethan Read,Gold Coast,St Kilda Saints,Key Fwd,18,19,DNP,DNP,1035,1039,4,0.39,224,223,1,28,27,1
joshua-weddle,Joshua Weddle,Hawthorn,Richmond Tigers,Def,18,19,PLAYED,93.0,1534,1685,151,9.84,160,146,14,32,29,3
mason-redman,Mason Redman,Essendon,Collingwood Magpies,Def,18,19,PLAYED,116.0,1560,1652,92,5.9,159,149,10,31,31,0
isaac-kako,Isaac Kako,Essendon,Western Bulldogs,Fwd,18,19,PLAYED,57.0,1087,1083,-4,-0.37,217,215,2,26,25,1
oskar-taylor,Oskar Taylor,GWS,Hawthorn Hawks,Def,18,19,DNP,DNP,828,828,0,0.0,267,277,-10,56,58,-2
trent-rivers,Trent Rivers,Melbourne,Western Bulldogs,Def,18,19,PLAYED,114.0,1783,1889,106,5.95,137,133,4,27,27,0
hayden-young,Hayden Young,Fremantle,Essendon Bombers,Mid,18,19,PLAYED,90.0,2047,2027,-20,-0.98,117,120,-3,57,59,-2
dylan-moore,Dylan Moore,Hawthorn,Hawthorn Hawks,Fwd,18,19,PLAYED,74.0,1384,1399,15,1.08,182,183,-1,22,22,0
ned-moyle,Ned Moyle,Gold Coast,St Kilda Saints,Ruck,18,19,PLAYED,119.0,2076,2464,388,18.69,112,81,31,10,7,3
latrelle-pickett,Latrelle Pickett,Melbourne,Collingwood Magpies,Fwd,18,19,PLAYED,38.0,595,633,38,6.39,345,330,15,43,42,1
luke-ryan,Luke Ryan,Fremantle,West Coast Eagles,Def,18,19,PLAYED,102.0,1485,1581,96,6.46,167,157,10,34,33,1
xavier-lindsay,Xavier Lindsay,Melbourne,Western Bulldogs,Def,18,19,DNP,DNP,2158,2166,8,0.37,104,106,-2,20,21,-1
dyson-sharp,Dyson Sharp,Essendon,Fremantle Dockers,Mid,18,19,PLAYED,99.0,1773,2043,270,15.23,142,119,23,63,58,5
charlie-curnow,Charlie Curnow,Carlton,Adelaide Crows,Key Fwd,18,19,PLAYED,30.0,1825,1574,-251,-13.75,133,160,-27,11,17,-6
max-king-stk,Max King,St Kilda,Hawthorn Hawks,Key Fwd,18,19,DNP,DNP,376,378,2,0.53,448,451,-3,63,63,0
oliver-hollands,Oliver Hollands,Carlton,Sydney Swans,Def,18,19,DNP,DNP,1479,1485,6,0.41,169,169,0,35,36,-1
bradley-hill,Bradley Hill,St Kilda,Port Adelaide Power,Fwd,18,19,PLAYED,65.0,1339,1255,-84,-6.27,186,196,-10,23,23,0
louis-emmett,Louis Emmett,Western Bulldogs,Adelaide Crows,Ruck,18,19,DNP,DNP,918,922,4,0.44,245,253,-8,22,22,0
