key,name,age,pos,b4,b5,inversion
fred-rodriguez,"Fred Rodriguez",19,MID,94.858611,112.820363,0
riley-onley,"Riley Onley",19,MID,94.858611,112.820363,0
leon-kickett,"Leon Kickett",20,SF,80.256226,91.516815,0
nick-driscoll,"Nick Driscoll",19,MID,94.858611,112.820363,0
darcy-moore,"Darcy Moore",30,KPD,71.364488,76.511737,0
sam-banks,"Sam Banks",23,SD,93.732351,98.251427,0
tom-gross,"Tom Gross",20,MID,86.968416,102.083159,0
logan-smith,"Logan Smith",20,RUCK,99.700863,110.942457,0
jacob-moss,"Jacob Moss",22,KPF,78.998442,88.863199,0
jaime-uhr-henry,"Jaime Uhr-Henry",23,RUCK,88.740260,106.379249,0
iliro-smit,"Iliro Smit",21,RUCK,94.908637,111.336255,0
aiden-riddle,"Aiden Riddle",21,RUCK,93.999334,111.336255,0
joe-pike,"Joe Pike",21,RUCK,93.999334,111.336255,0
milan-murdock,"Milan Murdock",26,SF,71.129618,76.610187,0
leek-aleer,"Leek Aleer",25,KPD,71.056527,76.719189,0
patrick-snell,"Patrick Snell",21,KPD,77.746764,94.363667,0
zac-mccarthy,"Zac McCarthy",19,KPF,80.418886,92.974050,0
elliot-yeo,"Elliot Yeo",33,MID,78.687729,92.424102,0
oliver-francou,"Oliver Francou",20,MID,91.969558,105.776954,0
riak-andrew,"Riak Andrew",21,KPD,78.259355,94.877766,0
xavier-walsh,"Xavier Walsh",21,KPD,84.501494,98.074687,0
sam-clohesy,"Sam Clohesy",24,MID,87.716673,92.849454,0
matthew-leray,"Matthew LeRay",19,MID,87.675596,106.176826,0
mitchell-lewis,"Mitchell Lewis",28,KPF,75.467579,80.486287,0
charlie-comben,"Charlie Comben",25,KPD,77.208891,81.378321,0
marc-pittonet,"Marc Pittonet",30,RUCK,89.848182,100.306999,0
hugo-hall-kahan,"Hugo Hall-Kahan",23,SD,80.973784,92.952927,0
zachary-williams,"Zachary Williams",32,SF,72.542583,79.575251,0
dylan-stephens,"Dylan Stephens",25,MID,91.015710,99.066739,0
matt-hill,"Matt Hill",22,SF,69.386126,79.504880,0
brayden-fiorini,"Brayden Fiorini",29,MID,87.748218,99.837206,0
bruce-reville,"Bruce Reville",25,MID,76.841702,85.207977,0
matthew-kennedy-1,"Matthew Kennedy",29,MID,91.807262,101.787613,0
james-worpel,"James Worpel",27,MID,90.633546,98.796912,0
luke-beecken,"Luke Beecken",25,MID,70.386498,79.741122,0
will-darcy,"Will Darcy",19,KPD,84.730799,94.239407,0
michael-sellwood,"Michael Sellwood",23,SD,81.954145,90.529761,0
calsher-dear,"Calsher Dear",21,KPF,81.486481,94.997363,0
billy-dowling,"Billy Dowling",22,SF,78.412384,86.752272,0
eamonn-armstrong,"Eamonn Armstrong",20,SD,91.232180,102.535554,0
cillian-burke,"Cillian Burke",23,SD,77.717394,87.516487,0
matt-duffy,"Matt Duffy",22,SD,80.186029,92.120699,0
zak-evans,"Zak Evans",26,MID,67.409431,74.162580,0
ricky-mentha,"Ricky Mentha",20,SF,82.307019,92.115236,0
benny-barrett,"Benny Barrett",20,SF,82.307019,92.115236,0
lennox-hoffman,"Lennox Hoffman",20,SD,91.232180,102.535554,0
river-stevens,"River Stevens",20,SF,82.307019,92.115236,0
keighton-matofai-forbes,"Keighton Matofai-Forbes",20,SD,91.232180,102.535554,0
harry-charleson,"Harry Charleson",20,SD,91.232180,102.535554,0
asher-eastham,"Asher Eastham",20,SF,82.307019,92.115236,0
joel-fitzgerald,"Joel Fitzgerald",23,MID,78.572413,88.109675,0
toby-mcmullin,"Toby McMullin",22,SF,58.384088,74.425494,0
isaac-quaynor,"Isaac Quaynor",26,SD,85.279169,87.377152,0
brady-hough,"Brady Hough",23,SD,83.891465,90.096070,0
alex-neal-bullen,"Alex Neal-Bullen",30,SF,82.231602,83.199515,0
jakob-ryan,"Jakob Ryan",22,SD,75.880376,87.034391,0
josh-goater,"Josh Goater",23,SD,71.090561,84.426769,0
josh-lai,"Josh Lai",21,SD,88.833825,101.100494,0
brayden-george,"Brayden George",22,SF,72.196993,83.771360,0
tyler-welsh,"Tyler Welsh",20,KPF,74.784826,91.511821,0
