key,name,pk,games,shipped,b0,landed,stage1_storelag_engine,stage2_curve_surface,total,stage2_channel
riley-thilthorpe,"Riley Thilthorpe",2,89,4164,4278,4288,114,10,124,ruled_curve
xavier-bamert,"Xavier Bamert",5,1,470,345,346,-125,1,-124,year_zero_lens
jack-ross,"Jack Ross",43,105,2602,2473,2479,-129,6,-123,ruled_curve
oliver-wines,"Oliver Wines",10,282,391,267,268,-124,1,-123,ruled_curve
rhett-bazzo,"Rhett Bazzo",37,32,598,474,475,-124,1,-123,ruled_curve
lucca-grego,"Lucca Grego",48,1,251,137,129,-114,-8,-122,year_zero_lens
luke-lloyd,"Luke Lloyd",42,0,287,173,165,-114,-8,-122,year_zero_lens
ollie-murphy,"Ollie Murphy",41,0,292,177,170,-115,-7,-122,year_zero_lens
liam-duggan,"Liam Duggan",12,213,365,243,244,-122,1,-121,ruled_curve
mitchell-hinge,"Mitchell Hinge",16,90,479,357,358,-122,1,-121,ruled_curve
patrick-said,"Patrick Said",60,0,205,93,84,-112,-9,-121,year_zero_lens
reece-torrent,"Reece Torrent",64,0,202,96,81,-106,-15,-121,year_zero_lens
thomas-sims,"Thomas Sims",28,11,1151,1027,1030,-124,3,-121,year_zero_lens
tom-doedee,"Tom Doedee",17,83,361,239,240,-122,1,-121,ruled_curve
jeremy-howe,"Jeremy Howe",35,280,367,247,247,-120,0,-120,
milan-murdock,"Milan Murdock",,10,353,232,233,-121,1,-120,year_zero_lens
cooper-harvey,"Cooper Harvey",56,11,663,542,544,-121,2,-119,year_zero_lens
harvey-thomas,"Harvey Thomas",59,53,2217,2092,2098,-125,6,-119,ruled_curve
jack-ginnivan,"Jack Ginnivan",8,102,2504,2379,2385,-125,6,-119,ruled_curve
jake-riccardi,"Jake Riccardi",50,98,396,277,277,-119,0,-119,
ned-bowman,"Ned Bowman",26,0,391,277,272,-114,-5,-119,year_zero_lens
jack-viney,"Jack Viney",13,237,369,251,251,-118,0,-118,
bailey-williams-wc,"Bailey J. Williams",35,97,2493,2370,2376,-123,6,-117,ruled_curve
hayden-mclean,"Hayden McLean",,101,387,270,270,-117,0,-117,
hugh-boxshall,"Hugh Boxshall",45,16,1019,899,902,-120,3,-117,year_zero_lens
tom-de-koning,"Tom De Koning",30,114,2078,1957,1962,-121,5,-116,ruled_curve
tom-powell,"Tom Powell",13,99,2262,2140,2146,-122,6,-116,ruled_curve
henry-smith,"Henry Smith",50,6,197,87,82,-110,-5,-115,year_zero_lens
jesse-dattoli,"Jesse Dattoli",22,3,450,339,335,-111,-4,-115,year_zero_lens
jed-adams,"Jed Adams",38,1,271,162,157,-109,-5,-114,year_zero_lens
jesse-hogan,"Jesse Hogan",5,189,329,215,215,-114,0,-114,
jobe-shanahan,"Jobe Shanahan",30,22,1853,1735,1739,-118,4,-114,year_zero_lens
logan-mcdonald,"Logan McDonald",4,83,720,604,606,-116,2,-114,ruled_curve
tom-brown,"Tom Brown",17,50,590,474,476,-116,2,-114,ruled_curve
tyler-sonsie,"Tyler Sonsie",28,51,1184,1067,1070,-117,3,-114,ruled_curve
jack-dalton,"Jack Dalton",34,2,630,517,517,-113,0,-113,
anthony-caminiti,"Anthony Caminiti",,66,1155,1041,1043,-114,2,-112,pool_levels
conor-nash,"Conor Nash",,130,348,236,237,-112,1,-111,pool_levels
elliot-yeo,"Elliot Yeo",36,223,316,204,205,-112,1,-111,ruled_curve
harrison-himmelberg,"Harrison Himmelberg",16,214,344,232,233,-112,1,-111,ruled_curve
luke-kennedy,"Luke Kennedy",62,1,525,417,414,-108,-3,-111,year_zero_lens
jack-henry,"Jack Henry",13,173,310,200,200,-110,0,-110,
jake-rogers,"Jake Rogers",14,23,647,536,537,-111,1,-110,year_zero_lens
jarrod-berry,"Jarrod Berry",17,192,332,221,222,-111,1,-110,ruled_curve
chris-scerri,"Chris Scerri",,7,407,298,298,-109,0,-109,
zach-guthrie,"Zach Guthrie",22,141,327,217,218,-110,1,-109,ruled_curve
ben-ainsworth,"Ben Ainsworth",4,170,319,211,211,-108,0,-108,
jase-burgoyne,"Jase Burgoyne",60,68,2281,2167,2173,-114,6,-108,ruled_curve
charlie-cameron,"Charlie Cameron",6,267,295,188,188,-107,0,-107,
jayden-laverde,"Jayden Laverde",20,158,298,190,191,-108,1,-107,ruled_curve
