name,grp,pick,age,n0,boundary,v0,v1_at_nplus1,delta_SCAR,lvl0,lvl1,par,lvlcurr,proximity,live,on_board
Tony Armstrong,GEN_DEF,55,37.0,0,0->1,11,11,0,66.823,64.883,68.41,58.45,completed9,True,False
Shane Valenti,MID,99,37.0,0,0->1,11,11,0,76.73,76.218,76.88,74.64,completed9,True,False
Jarryd Morton,GEN_FWD,34,38.0,0,0->1,13,13,0,66.828,66.308,67.02,64.74,completed9,True,False
Kyle Reimers,GEN_FWD,47,38.0,3,3->4,10,10,0,61.198,38.667,67.02,59.8,completed9,True,False
Garry Moss,MID,56,38.0,0,0->1,12,12,0,76.317,73.984,76.88,66.89,completed9,True,False
Nick Gill,KEY_FWD,64,38.0,0,0->1,10,10,0,64.039,62.09,64.39,56.02,completed9,True,False
Adam Bentick,MID,88,41.0,3,3->4,8,8,0,74.96,76.386,76.88,74.48,completed9,True,False
Andrew McQualter,GEN_FWD,19,40.0,3,3->4,19,19,0,64.442,50.203,69.22,63.36,completed9,True,False
Mitch Morton,GEN_FWD,14,40.0,3,3->4,26,26,0,55.056,27.653,69.39,50.28,completed9,True,False
Stephen Tiller,GEN_DEF,51,40.0,0,0->1,11,11,0,67.375,63.881,68.41,53.24,completed9,True,False
Marcus Drum,GEN_DEF,10,39.0,0,0->1,20,20,0,70.463,70.754,70.47,71.6,completed9,True,False
