key,player,pos,base,fix1,absence,both
noah-roberts-thomson,Noah Roberts-Thomson,GEN_FWD,440,440,440,440
zac-mccarthy,Zac McCarthy,KEY_FWD,391,391,391,391
matthew-leray,Matthew LeRay,MID,499,499,499,499
angus-anderson,Angus Anderson,MID,122,122,122,122
will-darcy,Will Darcy,KEY_DEF,562,562,562,562
fred-rodriguez,Fred Rodriguez,MID,507,507,507,507
riley-onley,Riley Onley,MID,473,473,473,473
jack-watkins,Jack Watkins,MID,1,1,1,1
leon-kickett,Leon Kickett,GEN_FWD,399,399,399,399
ollie-greeves,Ollie Greeves,MID,470,470,470,470
nick-driscoll,Nick Driscoll,MID,559,559,559,559
kalani-white,Kalani White,KEY_FWD,297,297,297,297
riley-hamilton,Riley Hamilton,GEN_FWD,348,348,348,348
noah-chamberlain,Noah Chamberlain,GEN_FWD,163,163,163,163
liam-hetherton,Liam Hetherton,KEY_FWD,227,227,227,227
jai-saxena,Jai Saxena,GEN_FWD,239,239,239,239
ryda-luke,Ryda Luke,GEN_FWD,239,239,239,239
toby-whan,Toby Whan,GEN_FWD,239,239,239,239
jesse-mellor,Jesse Mellor,MID,309,309,309,309
tom-blamires,Tom Blamires,GEN_DEF,81,81,81,81
thomas-burton,Thomas Burton,GEN_FWD,345,345,345,345
paddy-cross,Paddy Cross,GEN_FWD,62,62,62,62
will-lewis,Will Lewis,KEY_FWD,14,14,14,14
milan-murdock,Milan Murdock,GEN_FWD,823,823,823,823
balyn-o-brien,Balyn O'Brien,GEN_DEF,281,281,281,281
chris-scerri,Chris Scerri,GEN_FWD,352,352,352,352
mitch-zadow,Mitch Zadow,GEN_FWD,151,151,151,151
jaxon-artemis,Jaxon Artemis,GEN_DEF,391,391,391,391
kye-annand,Kye Annand,KEY_DEF,125,125,125,125
oliver-francou,Oliver Francou,MID,413,413,413,413
flynn-riley,Flynn Riley,RUC,427,427,427,427
xavier-bamert,Xavier Bamert,GEN_FWD,297,297,297,297
oliver-griffin,Oliver Griffin,GEN_FWD,253,253,253,253
campbell-lake,Campbell Lake,GEN_FWD,124,124,124,124
harrison-coe,Harrison Coe,RUC,97,97,97,97
caleb-may,Caleb May,RUC,427,427,427,427
lukas-cooke,Lukas Cooke,KEY_DEF,111,111,111,111
max-beattie,Max Beattie,GEN_FWD,36,36,36,36
marcus-herbert,Marcus Herbert,GEN_DEF,24,24,24,24
alex-van-wyk,Alex Van Wyk,RUC,427,427,427,427
liam-puncher,Liam Puncher,KEY_DEF,106,106,106,106
joel-fitzgerald,Joel Fitzgerald,MID,66,66,66,66
mitch-podhajski,Mitch Podhajski,KEY_FWD,5,5,5,5
max-mapley,Max Mapley,RUC,427,427,427,427
jagga-smith,Jagga Smith,MID,3090,3090,3090,3090
sid-draper,Sid Draper,MID,1478,1478,1478,1478
levi-ashcroft,Levi Ashcroft,MID,3097,3097,3097,3097
josh-smillie,Josh Smillie,MID,1282,1282,1282,1282
tobie-travaglia,Tobie Travaglia,GEN_DEF,783,783,783,783
leo-lombard,Leo Lombard,GEN_FWD,1613,1613,1613,1613
taj-hotton,Taj Hotton,MID,1659,1659,1659,1659
isaac-kako,Isaac Kako,GEN_FWD,1604,1604,1604,1604
oliver-hannaford,Oliver Hannaford,GEN_FWD,406,406,406,406
harrison-oliver,Harrison Oliver,GEN_DEF,598,598,598,598
cooper-hynes,Cooper Hynes,MID,1280,1280,1280,1280
luke-trainor,Luke Trainor,KEY_DEF,1479,1479,1479,1479
jesse-dattoli,Jesse Dattoli,GEN_FWD,487,487,487,487
harry-armstrong,Harry Armstrong,KEY_FWD,906,906,906,906
cody-angove,Cody Angove,MID,632,632,632,632
ned-bowman,Ned Bowman,GEN_FWD,422,422,422,422
matt-whitlock,Matt Whitlock,KEY_FWD,445,445,445,445
