stable_player_id,player,pos,num_off,num_on,delta_scar,delta_pct,rank_off,rank_on,delta_rank,rho_num,rho_ratio,w
afl-player-v1-ce97654bb88ebc40ffe5,Chris Scerri,GEN_FWD,331,331,0,0.0,472,476,4,-23.3,,0.0
afl-player-v1-f07600e2849bc4a2ed87,Mitch Zadow,GEN_FWD,145,145,0,0.0,625,627,2,-42.9,,0.0
afl-player-v1-690c8a0df50927412d20,Jaxon Artemis,GEN_DEF,380,380,0,0.0,437,443,6,,,0.0
afl-player-v1-a224d4377faae8f072fe,Kye Annand,KEY_DEF,188,188,0,0.0,590,592,2,-2.4,,0.0
afl-player-v1-558aaadecc21bf1b2489,Oliver Francou,MID,410,410,0,0.0,424,430,6,,,0.0
afl-player-v1-53c95637430db16d2617,Flynn Riley,RUC,412,412,0,0.0,419,426,7,,,0.0
afl-player-v1-f1b93c65c9f4fcaec365,Xavier Bamert,GEN_FWD,280,280,0,0.0,510,512,2,-30.9,,0.0
afl-player-v1-5612c4af21b5a0e54a5c,Oliver Griffin,GEN_FWD,229,229,0,0.0,564,565,1,,,0.0
afl-player-v1-4a2df595cb1ba12b7a45,Campbell Lake,GEN_FWD,148,148,0,0.0,623,625,2,-26.9,,0.0
afl-player-v1-8a8b5b4af8a8dfecdcaf,Harrison Coe,RUC,254,254,0,0.0,542,544,2,,,0.0
afl-player-v1-fc6149dc80445b72a5df,Caleb May,RUC,412,412,0,0.0,417,424,7,,,0.0
afl-player-v1-76288227686163efb60c,Lukas Cooke,KEY_DEF,188,188,0,0.0,591,593,2,-42.4,,0.0
afl-player-v1-bba889f13399d9b9ee78,Max Beattie,GEN_FWD,53,53,0,0.0,726,726,0,,,0.0
afl-player-v1-a91d721458a8af9477df,Marcus Herbert,GEN_DEF,35,35,0,0.0,753,753,0,-3.3,,0.0
afl-player-v1-2dfeb757c9c20d8e6638,Alex Van Wyk,RUC,412,412,0,0.0,416,423,7,,,0.0
afl-player-v1-6f5aa4b28abbf250bdc8,Liam Puncher,KEY_DEF,170,170,0,0.0,605,607,2,,,0.0
afl-player-v1-c090106f7ba6dd9b3e4f,Joel Fitzgerald,MID,110,110,0,0.0,653,655,2,-7.1,,0.0
afl-player-v1-d918d8964003f39a3025,Mitch Podhajski,KEY_FWD,31,31,0,0.0,761,761,0,-14.8,,0.0
afl-player-v1-b8023c8175b394310187,Max Mapley,RUC,412,412,0,0.0,420,427,7,,,0.0
afl-player-v1-b797a7fefb7394990338,Sam Lalor,MID,3311,3311,0,0.0,50,42,-8,-6.1615,,0.0
afl-player-v1-fe72527f019221062fb2,Finn O'Sullivan,MID,3376,3376,0,0.0,46,40,-6,-6.9552,,0.0
afl-player-v1-853be14ce453ff08eabb,Jagga Smith,MID,3408,3408,0,0.0,45,37,-8,-1.1,,0.0
afl-player-v1-384fa24082f2e4292c71,Sid Draper,MID,1165,1165,0,0.0,202,206,4,-56.8,,0.0
afl-player-v1-f3c64c36039d81bd8c9b,Levi Ashcroft,MID,3180,3180,0,0.0,52,47,-5,-7.6373,,0.0
afl-player-v1-d6ed32b0c0d14bdc9e91,Harvey Langford,MID,2488,2488,0,0.0,70,71,1,-12.4462,,0.0
afl-player-v1-24f687ff17ab96929229,Josh Smillie,MID,1285,1285,0,0.0,186,190,4,,,0.0
afl-player-v1-fd58640c5c54f6f75fdf,Tobie Travaglia,GEN_DEF,601,601,0,0.0,322,341,19,-38.6,,0.0
afl-player-v1-a96ccbd720e3cb6dd786,Leo Lombard,GEN_FWD,1391,1391,0,0.0,175,177,2,-15.1143,,0.0
afl-player-v1-adec4d952bcbc52767f5,Alix Tauru,KEY_DEF,1496,1496,0,0.0,158,164,6,-24.1667,,0.0
afl-player-v1-279d78b79a766963d4c9,Xavier Lindsay,GEN_DEF,1280,1280,0,0.0,188,192,4,-17.1737,,0.0
