player,afl_club,pos,rank_r21,rank_r22,rank_change,value_r21,value_r22,delta,pct,key
Josh Dolan,Western Bulldogs,SF,343,334,9,505,532,27,5.347,josh-dolan
Josh Draper,Fremantle,KPD,359,372,-13,460,433,-27,-5.87,josh-draper
Zeke Uwland,Gold Coast,SD,74,76,-2,2687,2660,-27,-1.005,zeke-uwland
Connor Idun,GWS,SD,98,99,-1,2283,2257,-26,-1.139,connor-idun
Will Hayward,Carlton,SF,497,474,23,206,232,26,12.621,will-hayward
Cooper Trembath,North Melbourne,KPF,120,120,0,2053,2028,-25,-1.218,cooper-trembath
Dylan Moore,Hawthorn,SF,205,200,5,1174,1199,25,2.129,dylan-moore
Harry Kyle,Sydney,SD,209,205,4,1149,1174,25,2.176,harry-kyle
Luke Parker,North Melbourne,SD,172,177,-5,1384,1359,-25,-1.806,luke-parker
Tylar Young,West Coast,KPD,485,460,25,221,246,25,11.312,tylar-young
Zach Guthrie,Geelong,SD,469,490,-21,239,214,-25,-10.46,zach-guthrie
Cody Curtin,Brisbane,KPF,328,340,-12,548,524,-24,-4.38,cody-curtin
Jake Rogers,Gold Coast,SF,335,324,11,539,563,24,4.453,jake-rogers
Josh Lindsay,West Coast,SD,81,86,-5,2452,2428,-24,-0.979,josh-lindsay
Zac Bailey,Brisbane,SF,64,64,0,2930,2954,24,0.819,zac-bailey
Bailey Williams,Western Bulldogs,SD,313,312,1,598,621,23,3.846,bailey-williams-wb
Josh Dunkley,Brisbane,MID,206,208,-2,1173,1150,-23,-1.961,josh-dunkley
Josh Ward,Hawthorn,MID,66,68,-2,2873,2850,-23,-0.801,josh-ward
Lachlan Gulbin,Gold Coast,SF,394,387,7,382,405,23,6.021,lachlan-gulbin
Max Gruzewski,GWS,KPF,317,319,-2,571,594,23,4.028,max-gruzewski
Oliver Francou,West Coast,MID,379,388,-9,425,402,-23,-5.412,oliver-francou
Rory Lobb,Western Bulldogs,KPD,424,435,-11,302,279,-23,-7.616,rory-lobb
William McCabe,Hawthorn,KPD,295,310,-15,647,624,-23,-3.555,william-mccabe
Alix Tauru,St Kilda,KPF,148,149,-1,1628,1650,22,1.351,alix-tauru
Hugo Hall-Kahan,Adelaide,SD,528,559,-31,171,149,-22,-12.865,hugo-hall-kahan
Lachie Whitfield,GWS,SD,100,100,0,2235,2257,22,0.984,lachie-whitfield
Will Hayes,Collingwood,SF,370,383,-13,432,410,-22,-5.093,will-hayes-b
Angus Anderson,Collingwood,SF,542,512,30,161,182,21,13.043,angus-anderson
Luke Trainor,Richmond,SD,159,158,1,1525,1546,21,1.377,luke-trainor
Nick Blakey,Sydney,SD,28,29,-1,4358,4337,-21,-0.482,nick-blakey
Cooper Hynes,Western Bulldogs,SF,173,171,2,1382,1402,20,1.447,cooper-hynes
Darcy Wilmot,Brisbane,SD,53,54,-1,3379,3359,-20,-0.592,darcy-wilmot
Jack Darling,North Melbourne,KPF,575,544,31,138,158,20,14.493,jack-darling
Karl Worner,Fremantle,SD,195,188,7,1246,1266,20,1.605,karl-worner
Logan McDonald,Sydney,KPF,289,287,2,683,703,20,2.928,logan-mcdonald
Luke Kennedy,Western Bulldogs,MID,390,403,-13,392,372,-20,-5.102,luke-kennedy
Michael Frederick,Fremantle,SF,674,711,-37,70,50,-20,-28.571,michael-frederick
Toby Greene,GWS,SF,256,254,2,839,859,20,2.384,toby-greene
Jack Dalton,Hawthorn,MID,345,353,-8,502,483,-19,-3.785,jack-dalton
Liam Baker,West Coast,SD,375,385,-10,427,408,-19,-4.45,liam-baker
Zak Johnson,Essendon,SD,325,321,4,556,575,19,3.417,zak-johnson
Liam Reidy,Carlton,KPF,413,422,-9,328,310,-18,-5.488,liam-reidy
Sam Allen,West Coast,SF,301,313,-12,636,618,-18,-2.83,sam-allen
Tom Anastasopoulos,Port Adelaide,SF,445,429,16,269,287,18,6.691,thomas-anastasopoulos
Gryan Miers,Geelong,SF,143,147,-4,1689,1672,-17,-1.007,gryan-miers
Isaiah Dudley,Fremantle,SF,572,541,31,142,159,17,11.972,isaiah-dudley
Jaxon Prior,Brisbane,SD,429,421,8,293,310,17,5.802,jaxon-prior
Lachlan Bramble,Western Bulldogs,SF,669,637,32,73,90,17,23.288,lachlan-bramble
Ned Reeves,Hawthorn,RUCK,461,473,-12,249,232,-17,-6.827,ned-reeves
Ryan Angwin,GWS,MID,355,349,6,471,488,17,3.609,ryan-angwin
Tobie Travaglia,St Kilda,SD,278,276,2,736,753,17,2.31,tobie-travaglia
Tyan Prindable,Collingwood,MID,323,331,-8,560,543,-17,-3.036,tyan-prindable
Hunter Holmes,Geelong,MID,339,341,-2,533,517,-16,-3.002,hunter-holmes
Josh Smillie,Richmond,MID,226,237,-11,978,962,-16,-1.636,josh-smillie
Mitchell Hinge,Adelaide,SD,402,415,-13,349,333,-16,-4.585,mitchell-hinge
Nathan O'Driscoll,Fremantle,MID,309,316,-7,622,606,-16,-2.572,nathan-o-driscoll
Jed Walter,Gold Coast,KPF,187,181,6,1315,1330,15,1.141,jed-walter
Lachlan Carmichael,Western Bulldogs,SD,322,327,-5,563,548,-15,-2.664,lachlan-carmichael
Rowan Marshall,St Kilda,KPF,118,117,1,2070,2055,-15,-0.725,rowan-marshall
Sid Draper,Adelaide,SF,210,206,4,1144,1159,15,1.311,sid-draper
Adam Saad,Carlton,SD,363,373,-10,446,432,-14,-3.139,adam-saad
Dan Houston,Collingwood,SD,212,213,-1,1127,1113,-14,-1.242,dan-houston
Jack Ough,GWS,MID,290,296,-6,678,664,-14,-2.065,jack-ough
Jobe Shanahan,West Coast,KPF,139,137,2,1769,1755,-14,-0.791,jobe-shanahan
Joshua Kelly,GWS,MID,392,400,-8,389,375,-14,-3.599,joshua-kelly
Koby Coulson,Gold Coast,MID,410,420,-10,330,316,-14,-4.242,koby-coulson
Lachlan Cowan,Carlton,SD,282,282,0,722,736,14,1.939,lachlan-cowan
Oscar Allen,West Coast,KPF,603,622,-19,115,101,-14,-12.174,oscar-allen
Oskar Taylor,GWS,SD,296,306,-10,643,629,-14,-2.177,oskar-taylor
Riley Hamilton,GWS,SF,455,462,-7,255,241,-14,-5.49,riley-hamilton
Connor O'Sullivan,Geelong,KPD,63,65,-2,2947,2934,-13,-0.441,connor-o-sullivan
Liam Puncher,Collingwood,KPD,600,619,-19,116,103,-13,-11.207,liam-puncher
Louis Emmett,Western Bulldogs,RUCK,266,267,-1,773,786,13,1.682,louis-emmett
Max Kondogiannis,Essendon,SD,357,356,1,464,477,13,2.802,max-kondogiannis
Mitchell Marsh,Adelaide,KPF,341,344,-3,518,505,-13,-2.51,mitchell-marsh
Sean Darcy,Fremantle,RUCK,272,280,-8,757,744,-13,-1.717,sean-darcy
Aidan Schubert,Hawthorn,KPF,340,342,-2,521,509,-12,-2.303,aidan-schubert
Avery Thomas,Gold Coast,SD,386,391,-5,406,394,-12,-2.956,avery-thomas
Balyn O'Brien,Port Adelaide,SD,435,428,7,282,294,12,4.255,balyn-o-brien
Bodie Ryan,Hawthorn,SD,459,463,-4,252,240,-12,-4.762,bodie-ryan
Caleb Daniel,North Melbourne,SD,179,178,1,1346,1358,12,0.892,caleb-daniel
Campbell Chesser,Carlton,MID,439,445,-6,277,265,-12,-4.332,campbell-chesser
Cody Angove,GWS,SF,348,352,-4,495,483,-12,-2.424,cody-angove
