stable_player_id,player,pos,num_off,num_on,delta_scar,delta_pct,rank_off,rank_on,delta_rank,rho_num,rho_ratio,w
afl-player-v1-9d46cc1ec1cb3092cfa7,Zane Peucker,GEN_FWD,573,573,0,0.0,337,267,-70,,,0.0
afl-player-v1-06d57f98203becdb27a7,Tyan Prindable,MID,735,735,0,0.0,284,200,-84,,,0.0
afl-player-v1-eabbae6380ed2ba8edf0,Hunter Holmes,MID,712,712,0,0.0,290,209,-81,,,0.0
afl-player-v1-6ff292e2d05fcf5981b5,Jack Dalton,GEN_FWD,576,576,0,0.0,332,261,-71,-34.4,,0.0
afl-player-v1-9ad6dcd7a2e1ad357061,Jevan Phillipou,GEN_FWD,526,526,0,0.0,357,285,-72,,,0.0
afl-player-v1-770aaa73c350c53af8f8,Max Kondogiannis,GEN_DEF,516,516,0,0.0,359,289,-70,-36.7,,0.0
afl-player-v1-72d1e9ef09766768bcd4,Samuel Swadling,MID,640,640,0,0.0,306,230,-76,,,0.0
afl-player-v1-baed67cf85334ee2b9d8,Koby Evans,GEN_FWD,491,491,0,0.0,370,298,-72,,,0.0
afl-player-v1-6ee5771dc5cb49ab69e0,Tylah Williams,GEN_FWD,480,480,0,0.0,378,308,-70,,,0.0
afl-player-v1-0ba4f535cce6ff129607,Tobyn Murray,GEN_FWD,449,449,0,0.0,396,335,-61,,,0.0
afl-player-v1-87e4c971ec1689a965d6,Charlie Banfield,MID,812,812,0,0.0,260,175,-85,-25.8,,0.0
afl-player-v1-db88060ca4ea6c950bdf,Billy Cootee,MID,86,86,0,0.0,681,681,0,-44.1,,0.0
afl-player-v1-fdb2a94cef6232ae9d2f,Cody Curtin,KEY_FWD,720,720,0,0.0,286,205,-81,-37.0,,0.0
afl-player-v1-8e2e6a62b231249ed929,Tai Hayes,GEN_FWD,293,293,0,0.0,499,464,-35,,,0.0
afl-player-v1-f23f5d01a5ebc72d7028,Talor Byrne,GEN_FWD,441,441,0,0.0,400,341,-59,-31.1,,0.0
afl-player-v1-0fa22cd878479f034b34,Koby Coulson,MID,551,551,0,0.0,346,277,-69,,,0.0
afl-player-v1-fd858670fdee0bfec2ff,Jack Ison,GEN_FWD,491,491,0,0.0,369,297,-72,-17.7,,0.0
afl-player-v1-4ed12365ade6e2fc03a5,Hugo Mikunda,GEN_FWD,392,392,0,0.0,433,381,-52,,,0.0
afl-player-v1-5f43c9c902f7780ce789,Maxwell King,GEN_FWD,265,265,0,0.0,534,504,-30,,,0.0
